AadharNumber,Name,DateOfBirth,PanCardNumber,Salary,Allowances,PensionType,BankName,AccountNumber,BankType
123456789101,test1,2022-05-02T12:44:09.000Z,aaaaa00011,50000,3000,self,sbi,aaaaaa123456789,public
123456789102,test2,2022-05-02T12:44:09.000Z,aaaaa00012,50000,3000,self,sbi,aaaaaa123456790,public
123456789103,test3,2022-05-02T12:44:09.000Z,aaaaa00013,50000,3000,self,sbi,aaaaaa123456791,public
123456789104,test4,2022-05-02T12:44:09.000Z,aaaaa00014,50000,3000,self,sbi,aaaaaa123456792,public
123456789105,test5,2022-05-02T12:44:09.000Z,aaaaa00015,50000,3000,self,sbi,aaaaaa123456793,public
123456789106,test6,2022-05-02T12:44:09.000Z,aaaaa00016,50000,3000,self,sbi,aaaaaa123456794,public
123456789107,test7,2022-05-02T12:44:09.000Z,aaaaa00017,50000,3000,self,sbi,aaaaaa123456795,public
123456789108,test8,2022-05-02T12:44:09.000Z,aaaaa00018,50000,7000,self,sbi,aaaaaa123456796,public
123456789109,test9,2022-05-02T12:44:09.000Z,aaaaa00019,50000,7000,self,sbi,aaaaaa123456797,public
123456789110,test10,2022-05-02T12:44:09.000Z,aaaaa00020,50000,7000,self,tmb,aaaaaa123456798,public
123456789111,test11,2022-05-02T12:44:09.000Z,aaaaa00021,50000,7000,family,tmb,aaaaaa123456799,private
123456789112,test12,2022-05-02T12:44:09.000Z,aaaaa00022,50000,7000,family,tmb,aaaaaa123456800,private
123456789113,test13,2022-05-02T12:44:09.000Z,aaaaa00023,50000,7000,family,tmb,aaaaaa123456801,private
123456789114,test14,2022-05-02T12:44:09.000Z,aaaaa00024,50000,7000,family,iob,aaaaaa123456802,private
123456789115,test15,2022-05-02T12:44:09.000Z,aaaaa00025,50000,15000,family,iob,aaaaaa123456803,private
123456789116,test16,2022-05-02T12:44:09.000Z,aaaaa00026,50000,15000,family,iob,aaaaaa123456804,private
123456789117,test17,2022-05-02T12:44:09.000Z,aaaaa00027,50000,15000,family,iob,aaaaaa123456805,private
123456789118,test18,2022-05-02T12:44:09.000Z,aaaaa00028,50000,15000,family,iob,aaaaaa123456806,private
123456789119,test19,2022-05-02T12:44:09.000Z,aaaaa00029,50000,15000,family,pnb,aaaaaa123456807,private
123456789120,test20,2022-05-02T12:44:09.000Z,aaaaa00030,50000,15000,family,pnb,aaaaaa123456808,private
